Breaker Left,Breaker Right,Go First,Winner,Competition,City,Country,Year,Month,Day,Bracket Size,Bracket Stage,Remaining Contestants,Video Link,Battle Rounds,System,Number Judges,Judge 1,Judge 1 Vote,Judge 2,Judge 2 Vote,Judge 3,Judge 3 Vote,Judge 4,Judge 4 Vote,Judge 5,Judge 5 Vote,Judge 6,Judge 6 Vote,Judge 7,Judge 7 Vote,Tiebreaker J1,Tiebreaker J2,Tiebreaker J3,Tiebreaker J4,Tiebreaker J5,Tiebreaker J6,Tiebreaker J7,R1J1,R1J2,R1J3,R1J4,R1J5,R1J6,R1J7,R2J1,R2J2,R2J3,R2J4,R2J5,R2J6,R2J7,R3J1,R3J2,R3J3,R3J4,R3J5,R3J6,R3J7,R4J1,R4J2,R4J3,R4J4,R4J5,R4J6,R4J7,R5J1,R5J2,R5J3,R5J4,R5J5,R5J6,R5J7
Lil Zoo,Alkolil,Alkolil,Alkolil,Red Bull BC One World BBoy Finals,Salzburg,Austria,2020,11,28,8,2,4,youtube.com/watch?v=zvWiTWT3T2M,3,Traditional,5,Movie One,Alkolil,Omar,Alkolil,Ayumi,Alkolil,Lilou,Alkolil,AT,Alkolil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shigekix,Vero,Shigekix,Shigekix,Red Bull BC One World BBoy Finals,Salzburg,Austria,2020,11,28,8,2,4,youtube.com/watch?v=Pan5R6HxlgI,3,Traditional,5,Movie One,Shigekix,Omar,Shigekix,Ayumi,Vero,Lilou,Shigekix,AT,Shigekix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alkolil,Pac Pac,Alkolil,Alkolil,Red Bull BC One World BBoy Finals,Salzburg,Austria,2020,11,28,8,1,8,youtube.com/watch?v=f4PNzVPs5aY,3,Traditional,5,Movie One,Alkolil,Omar,Alkolil,Ayumi,Alkolil,Lilou,Pac Pac,AT,Pac Pac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lil Zoo,Phil,Phil,Lil Zoo,Red Bull BC One World BBoy Finals,Salzburg,Austria,2020,11,28,8,1,8,youtube.com/watch?v=TsucYFPm6Q8,3,Traditional,5,Movie One,Phil,Omar,Lil Zoo,Ayumi,Lil Zoo,Lilou,Lil Zoo,AT,Lil Zoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killa Kolya,Vero,Killa Kolya,Vero,Red Bull BC One World BBoy Finals,Salzburg,Austria,2020,11,28,8,1,8,youtube.com/watch?v=J8DNK2qLe-s,3,Traditional,5,Movie One,Vero,Omar,Killa Kolya,Ayumi,Vero,Lilou,Killa Kolya,AT,Vero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shigekix,Kid Karam,Shigekix,Shigekix,Red Bull BC One World BBoy Finals,Salzburg,Austria,2020,11,28,8,1,8,youtube.com/watch?v=x3uelTisF6g,3,Traditional,5,Movie One,Shigekix,Omar,Shigekix,Ayumi,Shigekix,Lilou,Shigekix,AT,Shigekix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madmax,Kastet,Madmax,Kastet,Red Bull BC One World B-Girl Finals,Salzburg,Austria,2020,11,28,8,3,2,youtube.com/watch?v=ne_w_zaNOLs,3,Traditional,5,Movie One,Madmax,Omar,Kastet,Ayumi,Kastet,Lilou,Kastet,AT,Kastet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kastet,Ayane,Ayane,Kastet,Red Bull BC One World B-Girl Finals,Salzburg,Austria,2020,11,28,8,2,4,youtube.com/watch?v=vgs2VXp78bc,3,Traditional,5,Movie One,Kastet,Omar,Kastet,Ayumi,Ayane,Lilou,Kastet,AT,Ayane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madmax,Jilou,Madmax,Madmax,Red Bull BC One World B-Girl Finals,Salzburg,Austria,2020,11,28,8,2,4,youtube.com/watch?v=YRdkxsfoo9c,3,Traditional,5,Movie One,Madmax,Omar,Madmax,Ayumi,Jilou,Lilou,Madmax,AT,Madmax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayane,Kami,Kami,Ayane,Red Bull BC One World B-Girl Finals,Salzburg,Austria,2020,11,28,8,1,8,youtube.com/watch?v=qrmkQKLEcAw,3,Traditional,5,Movie One,Ayane,Omar,Ayane,Ayumi,Ayane,Lilou,Ayane,AT,Ayane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kastet,Mess,Mess,Kastet,Red Bull BC One World B-Girl Finals,Salzburg,Austria,2020,11,28,8,1,8,youtube.com/watch?v=R6vHm_97eBA,3,Traditional,5,Movie One,Kastet,Omar,Kastet,Ayumi,Kastet,Lilou,Kastet,AT,Kastet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jilou,Sina,Jilou,Jilou,Red Bull BC One World B-Girl Finals,Salzburg,Austria,2020,11,28,8,1,8,youtube.com/watch?v=vWRZ6hdlwYo,3,Traditional,5,Movie One,Jilou,Omar,Sina,Ayumi,Jilou,Lilou,Jilou,AT,Jilou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madmax,Sunny,Madmax,Madmax,Red Bull BC One World B-Girl Finals,Salzburg,Austria,2020,11,28,8,1,8,youtube.com/watch?v=pdNP0-pSpTQ,3,Traditional,5,Movie One,Madmax,Omar,Madmax,Ayumi,Sunny,Lilou,Sunny,AT,Madmax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomaz,Amir,Thomaz,Amir,The Legits Blast,Prague,Czech Republic,2020,3,8,32,5,2,youtube.com/watch?v=1tzuYGy8TGY,3,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,Thomaz,Thomaz,Thomaz,Thomaz,Thomaz,,,Amir,Amir,Amir,Thomaz,Amir,,,Amir,Amir,Amir,Amir,Thomaz,,,,,,,,,,,,,,,,
Thomaz,Bumblebee,Thomaz,Thomaz,The Legits Blast,Prague,Czech Republic,2020,3,8,32,4,4,youtube.com/watch?v=GGHimifRCFk,2,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,Bumblebee,Thomaz,Thomaz,Thomaz,Thomaz,,,Thomaz,Thomaz,Thomaz,Thomaz,Thomaz,,,,,,,,,,,,,,,,,,,,,,,
Xak,Amir,Xak,Amir,The Legits Blast,Prague,Czech Republic,2020,3,8,32,4,4,youtube.com/watch?v=tsbHibE92OA,2,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,Xak,Amir,Amir,Amir,Xak,,,Amir,Amir,Amir,Amir,Amir,,,,,,,,,,,,,,,,,,,,,,,
The Wolfer,Thomaz,Thomaz,Thomaz,The Legits Blast,Prague,Czech Republic,2020,3,8,32,3,8,youtube.com/watch?v=CEhtBkbL-Lk,2 + tiebreaker,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,Thomaz,Thomaz,The Wolfer,Thomaz,Thomaz,,,The Wolfer,The Wolfer,The Wolfer,The Wolfer,The Wolfer,,,Thomaz,The Wolfer,The Wolfer,Thomaz,Thomaz,,,,,,,,,,,,,,,,
Grom,Bumblebee,Bumblebee,Bumblebee,The Legits Blast,Prague,Czech Republic,2020,3,8,32,3,8,youtube.com/watch?v=xFwf6CewwXg,2 + tiebreaker,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,Bumblebee,Grom,Grom,Bumblebee,Grom,,,Bumblebee,Bumblebee,Bumblebee,Bumblebee,Bumblebee,,,Bumblebee,Bumblebee,Bumblebee,Bumblebee,Grom,,,,,,,,,,,,,,,,
Xak,Jerry Metal,Xak,Xak,The Legits Blast,Prague,Czech Republic,2020,3,8,32,3,8,youtube.com/watch?v=6dg2FbduFtQ,2,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,Xak,Xak,Jerry Metal,Xak,Xak,,,Xak,Jerry Metal,Jerry Metal,Xak,Xak,,,,,,,,,,,,,,,,,,,,,,,
Amir,Johnny Fox,Amir,Amir,The Legits Blast,Prague,Czech Republic,2020,3,8,32,3,8,youtube.com/watch?v=phuSUCUZoFo,2,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,Amir,Amir,Johnny Fox,Amir,Amir,,,Amir,Amir,Amir,Amir,Amir,,,,,,,,,,,,,,,,,,,,,,,
The Wolfer,Nord Diamond,The Wolfer,The Wolfer,The Legits Blast,Prague,Czech Republic,2020,3,8,32,2,16,youtube.com/watch?v=yBJtd34s_fY,2 + tiebreaker,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,The Wolfer,The Wolfer,Nord Diamond,The Wolfer,The Wolfer,,,Nord Diamond,The Wolfer,Nord Diamond,Nord Diamond,The Wolfer,,,The Wolfer,The Wolfer,Nord Diamond,Nord Diamond,The Wolfer,,,,,,,,,,,,,,,,
Thomaz,Beatmaster T,Beatmaster T,Thomaz,The Legits Blast,Prague,Czech Republic,2020,3,8,32,2,16,youtube.com/watch?v=hTkFbBciDNg,2,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,Beatmaster T,Thomaz,Thomaz,Thomaz,Thomaz,,,Thomaz,Thomaz,Thomaz,Thomaz,Thomaz,,,,,,,,,,,,,,,,,,,,,,,
Grom,Lorenzo,Grom,Grom,The Legits Blast,Prague,Czech Republic,2020,3,8,32,2,16,youtube.com/watch?v=F06kInHnJBw,2,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,Lorenzo,Grom,Grom,Lorenzo,Grom,,,Grom,Grom,Grom,Lorenzo,Lorenzo,,,,,,,,,,,,,,,,,,,,,,,
Shahi,Bumblebee,Shahi,Bumblebee,The Legits Blast,Prague,Czech Republic,2020,3,8,32,2,16,youtube.com/watch?v=Y9l_ScFTujQ,2,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,Bumblebee,Bumblebee,Bumblebee,Bumblebee,Bumblebee,,,Bumblebee,Bumblebee,Bumblebee,Bumblebee,Bumblebee,,,,,,,,,,,,,,,,,,,,,,,
Zip Rock,Xak,Zip Rock,Xak,The Legits Blast,Prague,Czech Republic,2020,3,8,32,2,16,youtube.com/watch?v=J_7KdC0wfqw,2,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,Zip Rock,Xak,Xak,Xak,Zip Rock,,,Xak,Zip Rock,Xak,Xak,Xak,,,,,,,,,,,,,,,,,,,,,,,
Tricky,Jerry Metal,Tricky,Jerry Metal,The Legits Blast,Prague,Czech Republic,2020,3,8,32,2,16,youtube.com/watch?v=hNk2UbEF7JM,2,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,Jerry Metal,Jerry Metal,Jerry Metal,Jerry Metal,Jerry Metal,,,Jerry Metal,Jerry Metal,Jerry Metal,Jerry Metal,Jerry Metal,,,,,,,,,,,,,,,,,,,,,,,
Cheerito,Amir,Amir,Amir,The Legits Blast,Prague,Czech Republic,2020,3,8,32,2,16,youtube.com/watch?v=6tk2DJXi8fI,2 + tiebreaker,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,Amir,Cheerito,Amir,Amir,Amir,,,Cheerito,Cheerito,Amir,Cheerito,Amir,,,Cheerito,Amir,Amir,Cheerito,Amir,,,,,,,,,,,,,,,,
Mighty Jim,Johnny Fox,Johnny Fox,Johnny Fox,The Legits Blast,Prague,Czech Republic,2020,3,8,32,2,16,youtube.com/watch?v=MhU354Zd83g,2,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,Mighty Jim,Mighty Jim,Johnny Fox,Johnny Fox,Johnny Fox,,,Johnny Fox,Johnny Fox,Johnny Fox,Johnny Fox,Johnny Fox,,,,,,,,,,,,,,,,,,,,,,,
The Wolfer,Wigor,Wigor,The Wolfer,The Legits Blast,Prague,Czech Republic,2020,3,7,32,1,32,youtube.com/watch?v=uWJNt9QkyS0,1,Kozen,5,Freeze,,Pluto,,Taya,,Poe One,,Max,,,,,,,,,,,,,The Wolfer,The Wolfer,The Wolfer,The Wolfer,Wigor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nord Diamond,Gizmo (Germany),Nord Diamond,Nord Diamond,The Legits Blast,Prague,Czech Republic,2020,3,7,32,1,32,youtube.com/watch?v=HpC4m5i6xrA,1,Kozen,5,Freeze,,Pluto,,Taya,,Poe One,,Max,,,,,,,,,,,,,Nord Diamond,Nord Diamond,Nord Diamond,Nord Diamond,Nord Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomaz,Ozzi,Thomaz,Thomaz,The Legits Blast,Prague,Czech Republic,2020,3,7,32,1,32,youtube.com/watch?v=yuaW6dg9e-8,1,Kozen,5,Freeze,,Pluto,,Taya,,Poe One,,Max,,,,,,,,,,,,,Thomaz,Thomaz,Thomaz,Thomaz,Thomaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beatmaster T,Create,Beatmaster T,Beatmaster T,The Legits Blast,Prague,Czech Republic,2020,3,7,32,1,32,youtube.com/watch?v=ahyxOCC5rps,1,Kozen,5,Freeze,,Pluto,,Taya,,Poe One,,Max,,,,,,,,,,,,,Beatmaster T,Create,Beatmaster T,Beatmaster T,Beatmaster T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bura-Deny,Grom,Grom,Grom,The Legits Blast,Prague,Czech Republic,2020,3,7,32,1,32,youtube.com/watch?v=KhEuSjouKvo,1,Kozen,5,Freeze,,Pluto,,Taya,,Poe One,,Max,,,,,,,,,,,,,Grom,Grom,Bura-Deny,Bura-Deny,Grom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonio,Lorenzo,Tonio,Lorenzo,The Legits Blast,Prague,Czech Republic,2020,3,7,32,1,32,youtube.com/watch?v=o808ir8_hxI,1,Kozen,5,Freeze,,Pluto,,Taya,,Poe One,,Max,,,,,,,,,,,,,Tonio,Lorenzo,Tonio,Lorenzo,Lorenzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shahi,Jee Ess,Jee Ess,Shahi,The Legits Blast,Prague,Czech Republic,2020,3,7,32,1,32,youtube.com/watch?v=pAO3z42kTEo,1,Kozen,5,Freeze,,Pluto,,Taya,,Poe One,,Max,,,,,,,,,,,,,Jee Ess,Shahi,Shahi,Shahi,Jee Ess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hadzik,Bumblebee,Hadzik,Bumblebee,The Legits Blast,Prague,Czech Republic,2020,3,7,32,1,32,youtube.com/watch?v=ukK9FoIppek,1,Kozen,5,Freeze,,Pluto,,Taya,,Poe One,,Max,,,,,,,,,,,,,Bumblebee,Bumblebee,Bumblebee,Bumblebee,Bumblebee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico,Zip Rock,Zip Rock,Zip Rock,The Legits Blast,Prague,Czech Republic,2020,3,7,32,1,32,youtube.com/watch?v=QPDpsdNOaP0,1,Kozen,5,Freeze,,Pluto,,Taya,,Poe One,,Max,,,,,,,,,,,,,Zip Rock,Zip Rock,Zip Rock,Zip Rock,Zip Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stepper,Xak,Xak,Xak,The Legits Blast,Prague,Czech Republic,2020,3,7,32,1,32,youtube.com/watch?v=BVuaCybU10I,1,Kozen,5,Freeze,,Pluto,,Taya,,Poe One,,Max,,,,,,,,,,,,,Xak,Xak,Xak,Xak,Xak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fababy,Tricky,Fababy,Tricky,The Legits Blast,Prague,Czech Republic,2020,3,7,32,1,32,youtube.com/watch?v=cU67xYdoDLE,1,Kozen,5,Freeze,,Pluto,,Taya,,Poe One,,Max,,,,,,,,,,,,,Fababy,Tricky,Tricky,Tricky,Tricky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerry Metal,Narko,Jerry Metal,Jerry Metal,The Legits Blast,Prague,Czech Republic,2020,3,7,32,1,32,youtube.com/watch?v=L4XkIODEi7U,1,Kozen,5,Freeze,,Pluto,,Taya,,Poe One,,Max,,,,,,,,,,,,,Jerry Metal,Jerry Metal,Jerry Metal,Jerry Metal,Jerry Metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheerito,Sheku,Sheku,Cheerito,The Legits Blast,Prague,Czech Republic,2020,3,7,32,1,32,youtube.com/watch?v=b0CSl-UG_YY,1,Kozen,5,Freeze,,Pluto,,Taya,,Poe One,,Max,,,,,,,,,,,,,Cheerito,Cheerito,Sheku,Sheku,Cheerito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zawisza,Amir,Amir,Amir,The Legits Blast,Prague,Czech Republic,2020,3,7,32,1,32,youtube.com/watch?v=QrdWG6sTMeA,1,Kozen,5,Freeze,,Pluto,,Taya,,Poe One,,Max,,,,,,,,,,,,,Amir,Amir,Amir,Amir,Amir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LB,Mighty Jim,LB,Mighty Jim,The Legits Blast,Prague,Czech Republic,2020,3,7,32,1,32,youtube.com/watch?v=etuC66dhbyw,1,Kozen,5,Freeze,,Pluto,,Taya,,Poe One,,Max,,,,,,,,,,,,,LB,LB,Mighty Jim,Mighty Jim,Mighty Jim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rezyap,Johnny Fox,Johnny Fox,Johnny Fox,The Legits Blast,Prague,Czech Republic,2020,3,7,32,1,32,youtube.com/watch?v=yDKjwUJCHFc,1,Kozen,5,Freeze,,Pluto,,Taya,,Poe One,,Max,,,,,,,,,,,,,Johnny Fox,Johnny Fox,Johnny Fox,Johnny Fox,Johnny Fox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Andrea,Kastet,Kastet,San Andrea,The Legits Blast BGirl,Prague,Czech Republic,2020,3,8,16,4,2,youtube.com/watch?v=kADPIHx6mIs,3,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,Kastet,Kastet,Kastet,Kastet,San Andrea,,,San Andrea,San Andrea,San Andrea,San Andrea,San Andrea,,,San Andrea,San Andrea,San Andrea,San Andrea,Kastet,,,,,,,,,,,,,,,,
San Andrea,Sarah Bee,San Andrea,San Andrea,The Legits Blast BGirl,Prague,Czech Republic,2020,3,8,16,3,4,youtube.com/watch?v=uNRLswMSR_8,2,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,San Andrea,Sarah Bee,Sarah Bee,San Andrea,San Andrea,,,San Andrea,San Andrea,San Andrea,San Andrea,San Andrea,,,,,,,,,,,,,,,,,,,,,,,
Jilou,Kastet,Jilou,Kastet,The Legits Blast BGirl,Prague,Czech Republic,2020,3,8,16,3,4,youtube.com/watch?v=zOgF9JzvTz0,2,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,Kastet,Kastet,Kastet,Kastet,Kastet,,,Kastet,Kastet,Kastet,Kastet,Kastet,,,,,,,,,,,,,,,,,,,,,,,
Madmax,San Andrea,San Andrea,San Andrea,The Legits Blast BGirl,Prague,Czech Republic,2020,3,8,16,2,8,youtube.com/watch?v=cM2yc0FGdS8,2,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,San Andrea,San Andrea,San Andrea,San Andrea,San Andrea,,,San Andrea,San Andrea,San Andrea,San Andrea,San Andrea,,,,,,,,,,,,,,,,,,,,,,,
Sarah Bee,Tata (Russia),Tata (Russia),Sarah Bee,The Legits Blast BGirl,Prague,Czech Republic,2020,3,8,16,2,8,youtube.com/watch?v=9SBKgHyr5gA,2 + tiebreaker,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,Tata (Russia),Tata (Russia),Tata (Russia),Tata (Russia),Tata (Russia),,,Tata (Russia),Sarah Bee,Sarah Bee,Tata (Russia),Sarah Bee,,,Sarah Bee,Sarah Bee,Sarah Bee,Tata (Russia),Sarah Bee,,,,,,,,,,,,,,,,
Ramona,Jilou,Jilou,Jilou,The Legits Blast BGirl,Prague,Czech Republic,2020,3,8,16,2,8,youtube.com/watch?v=xFUjc6NxwgI,2 + tiebreaker,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,Ramona,Ramona,Ramona,Ramona,Ramona,,,Jilou,Jilou,Ramona,Jilou,Jilou,,,Jilou,Jilou,Ramona,Jilou,Ramona,,,,,,,,,,,,,,,,
Ayane,Kastet,Kastet,Kastet,The Legits Blast BGirl,Prague,Czech Republic,2020,3,8,16,2,8,youtube.com/watch?v=koTAcyzN7LE,2,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,Kastet,Kastet,Kastet,Kastet,Kastet,,,Kastet,Kastet,Kastet,Kastet,Kastet,,,,,,,,,,,,,,,,,,,,,,,
Madmax,Con,Con,Madmax,The Legits Blast B-Girl,Prague,Czech Republic,2020,3,8,16,1,16,youtube.com/watch?v=saeoi35WaXA,2,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,Madmax,Madmax,Madmax,Madmax,Madmax,,,Madmax,Madmax,Madmax,Madmax,Madmax,,,,,,,,,,,,,,,,,,,,,,,
San Andrea,Alicia,Alicia,San Andrea,The Legits Blast BGirl,Prague,Czech Republic,2020,3,8,16,1,16,youtube.com/watch?v=gG9t9C0x5Cg,2,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,San Andrea,San Andrea,San Andrea,San Andrea,San Andrea,,,San Andrea,San Andrea,San Andrea,San Andrea,San Andrea,,,,,,,,,,,,,,,,,,,,,,,
Sarah Bee,Furia,Furia,Sarah Bee,The Legits Blast BGirl,Prague,Czech Republic,2020,3,8,16,1,16,youtube.com/watch?v=uw8o2yTfJ8c,2,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,Sarah Bee,Sarah Bee,Sarah Bee,Sarah Bee,Sarah Bee,,,Furia,Sarah Bee,Sarah Bee,Furia,Sarah Bee,,,,,,,,,,,,,,,,,,,,,,,
Paulina,Tata (Russia),Paulina,Tata (Russia),The Legits Blast BGirl,Prague,Czech Republic,2020,3,8,16,1,16,youtube.com/watch?v=-_G98Frqrzc,2,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,Tata (Russia),Tata (Russia),Tata (Russia),Tata (Russia),Tata (Russia),,,Tata (Russia),Tata (Russia),Tata (Russia),Tata (Russia),Paulina,,,,,,,,,,,,,,,,,,,,,,,
Alyssa,Ramona,Ramona,Ramona,The Legits Blast BGirl,Prague,Czech Republic,2020,3,8,16,1,16,youtube.com/watch?v=vUraW-KXbKw,2,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,Ramona,Ramona,Ramona,Ramona,Ramona,,,Ramona,Ramona,Ramona,Ramona,Ramona,,,,,,,,,,,,,,,,,,,,,,,
Aga (Poland),Jilou,Aga (Poland),Jilou,The Legits Blast BGirl,Prague,Czech Republic,2020,3,8,16,1,16,youtube.com/watch?v=G_jUruN7mNk,2,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,Jilou,Jilou,Jilou,Jilou,Jilou,,,Jilou,Jilou,Jilou,Jilou,Aga (Poland),,,,,,,,,,,,,,,,,,,,,,,
Ayane,Killa Kim,Ayane,Ayane,The Legits Blast BGirl,Prague,Czech Republic,2020,3,8,16,1,16,youtube.com/watch?v=tW2SXv-NH38,2,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,Ayane,Ayane,Ayane,Killa Kim,Ayane,,,Ayane,Ayane,Ayane,Ayane,Ayane,,,,,,,,,,,,,,,,,,,,,,,
Fanny,Kastet,Kastet,Kastet,The Legits Blast BGirl,Prague,Czech Republic,2020,3,8,16,1,16,youtube.com/watch?v=d5lINDmviEo,2 + tiebreaker,Kozen,5,Max,,Poe One,,Taya,,Pluto,,Freeze,,,,,,,,,,,,,Fanny,Kastet,Kastet,Fanny,Fanny,,,Kastet,Fanny,Fanny,Kastet,Kastet,,,Kastet,Fanny,Fanny,Kastet,Kastet,,,,,,,,,,,,,,,,
Menno,Killa Kolya,Menno,Menno,Red Bull BC One World BBoy Finals,Mumbai,India,2019,11,9,16,4,2,youtube.com/watch?v=FhwzYeCWxf4,5,Traditional,5,Narumi,Menno,Lil G,Killa Kolya,Intact,Menno,Physicx,Menno,Poe One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bart,Killa Kolya,Killa Kolya,Killa Kolya,Red Bull BC One World BBoy Finals,Mumbai,India,2019,11,9,16,3,4,youtube.com/watch?v=t9ULINGOcn8,3,Traditional,5,Narumi,Bart,Lil G,Killa Kolya,Intact,Killa Kolya,Physicx,Killa Kolya,Poe One,Killa Kolya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menno,Kazuki Rock,Menno,Menno,Red Bull BC One World BBoy Finals,Mumbai,India,2019,11,9,16,3,4,youtube.com/watch?v=gxXSjSi9Gn4,3,Traditional,5,Narumi,Kazuki Rock,Lil G,Menno,Intact,Menno,Physicx,Menno,Poe One,Menno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killa Kolya,Robin,Robin,Killa Kolya,Red Bull BC One World BBoy Finals,Mumbai,India,2019,11,9,16,2,8,youtube.com/watch?v=eXqno2a49d4,3,Traditional,5,Narumi,Robin,Lil G,Robin,Intact,Killa Kolya,Physicx,Killa Kolya,Poe One,Killa Kolya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beetle,Bart,Beetle,Bart,Red Bull BC One World BBoy Finals,Mumbai,India,2019,11,9,16,2,8,youtube.com/watch?v=HVE4IxYsOYs,3,Traditional,5,Narumi,Bart,Lil G,Bart,Intact,Bart,Physicx,Bart,Poe One,Bart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onel,Kazuki Rock,Kazuki Rock,Kazuki Rock,Red Bull BC One World BBoy Finals,Mumbai,India,2019,11,9,16,2,8,youtube.com/watch?v=bdBz6nFHOpE,3,Traditional,5,Narumi,Kazuki Rock,Lil G,Kazuki Rock,Intact,Kazuki Rock,Physicx,Kazuki Rock,Poe One,Kazuki Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bumblebee,Menno,Menno,Menno,Red Bull BC One World BBoy Finals,Mumbai,India,2019,11,9,16,2,8,youtube.com/watch?v=Ek6Puxh6j7Q,3,Traditional,5,Narumi,Menno,Lil G,Menno,Intact,Menno,Physicx,Bumblebee,Poe One,Menno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
